UserKey_4Map,yearmonth,Country,SalesRep_Code,salesrepemployeeid_z,Sales_MTD,Target_MTD,Sales_QTD,Target_QTD,Balance_MTD,Balance_QTD,%Achievement_MTD,%Achievement_QTD
ID_MR_MRJKCV18,2024-08-01,ID,MRJKCV18,nadharma,57089907.0,251411938.0,338117958.0,502823876.0,194322031.0,164705918.0,0.22707715255748914,0.6724381520817042
ID_MR_MRJKCV19,2024-08-01,ID,MRJKCV19,,15061713.0,266059645.0,157596488.5,532119290.0,250997932.0,374522801.5,0.0566102875165454,0.29616759148122596
ID_MR_MRJKCV20,2024-08-01,ID,MRJKCV20,ihmaulana,145088026.0,416050845.0,570124621.5,832101690.0,270962819.0,261977068.5,0.3487266706548811,0.6851621963416514
ID_MR_MRJKCV21,2024-08-01,ID,MRJKCV21,hjabbar,45108423.0,397489152.0,443535089.0,794978304.0,352380729.0,351443215.0,0.11348340646036045,0.5579209983068921
ID_MR_MRJKCV22,2024-08-01,ID,MRJKCV22,shwibowo,100298399.0,229554408.0,299750812.0,459108816.0,129256009.0,159358004.0,0.4369264780138746,0.6528970944439455
ID_MR_MRJKCV23,2024-08-01,ID,MRJKCV23,raditia,28342158.0,183708082.0,180544799.0,367416164.0,155365924.0,186871365.0,0.15427823148248862,0.49139046315882823
ID_MR_MRJKCY01,2024-08-01,ID,MRJKCY01,dwidjanarko,13182400.0,205705344.0,133730397.0,406938832.0,192522944.0,273208435.0,0.06408389662448438,0.32862530307749055
ID_MR_MRJKCY02,2024-08-01,ID,MRJKCY02,rrori,3872000.0,294844320.0,430694000.0,583278976.0,290972320.0,152584976.0,0.013132354050435837,0.738401378622637
ID_MR_MRJKD101,2024-08-01,ID,MRJKD101,wlestari,88672772.0,257438048.0,369734285.0,508048576.0,168765276.0,138314291.0,0.34444314928926123,0.7277538063604375
ID_MR_MRJKD102,2024-08-01,ID,MRJKD102,dindriati,89691393.0,352792144.0,430653567.0,698895504.0,263100751.0,268241937.0,0.2542329655730656,0.6161916402884744
ID_MR_MRJKD103,2024-08-01,ID,MRJKD103,dheriyadi,127181774.0,439030736.0,594479925.0,867946656.0,311848962.0,273466731.0,0.28968763134615705,0.6849267992340764
ID_MR_MRJKD104,2024-08-01,ID,MRJKD104,jmartin,189128913.0,201920940.0,581335724.0,398233608.0,12792027.0,-183102116.0,0.9366483387012758,1.459785694430893
ID_MR_MRJKD105,2024-08-01,ID,MRJKD105,kirpan,60539516.0,215516362.0,242295875.0,424770084.0,154976846.0,182474209.0,0.28090450042025117,0.5704165244367821
ID_MR_MRJKD107,2024-08-01,ID,MRJKD107,fwaruwu,39190157.0,173876022.0,182204612.0,342999420.0,134685865.0,160794808.0,0.22539138260248442,0.5312096795965427
ID_MR_MRJKD108,2024-08-01,ID,MRJKD108,iindrayani,62557388.0,255630208.0,261754915.0,505853696.0,193072820.0,244098781.0,0.2447182924484418,0.5174518187171652
